19710391,BedStuy Dream-house,28680760,Edwin,Brooklyn,Bedford-Stuyvesant,40.68474,-73.91825,Entire home/apt,250,4,3,9/17/2017,0.13,1,333
19710742,Sunny Room w/ Private Bath in Williamsburg!,2361069,Philip,Brooklyn,Williamsburg,40.71553,-73.96332,Private room,90,3,74,6/23/2019,3.29,1,79
19710855,Cozy Ground Floor Apartment-SUBWAY ONE BLOCK AWAY,49764808,Danielle,Brooklyn,Bedford-Stuyvesant,40.67848,-73.91543,Entire home/apt,85,2,67,6/23/2019,2.85,2,171
19711512,"Cozy, Cool, Mid Century Modern Apt in Boerum Hill",1024251,Michael,Brooklyn,Boerum Hill,40.68807,-73.98161,Entire home/apt,170,2,21,8/21/2018,0.86,1,9
19712270,Treasure of Harlem: Balcony View and Fun Hosts,138914016,Jacqueline,Manhattan,East Harlem,40.80109,-73.93975,Private room,60,1,26,7/1/2018,1.09,1,0
19712405,Private basement room in a duplex apartment,109908957,Natalia & Gustavo,Brooklyn,East Flatbush,40.6458,-73.94586,Private room,50,1,8,6/2/2018,0.35,2,89
19712687,"Sunny, spacious, homey Brooklyn loft",11989253,Hiji,Brooklyn,Bushwick,40.70113,-73.92299,Private room,60,3,0,,,1,0
19713074,Sweet one bedroom apartment in Cobble Hill,9669516,Renee,Brooklyn,Cobble Hill,40.68698,-73.99864,Entire home/apt,152,3,3,7/31/2017,0.13,1,0
19713885,The Historic Jackson Heights,137575707,Lilia,Queens,Jackson Heights,40.75091,-73.89304,Private room,62,2,55,6/11/2019,2.31,1,318
19714056,"Bright, spacious bedroom in comfy Brooklyn home",3013202,Chelsea,Brooklyn,Bushwick,40.69997,-73.91666,Private room,70,4,1,8/21/2017,0.04,1,55
19714504,"Sunny, Clean 2 beds 1 bath  C.Heights Brooklyn",21418070,Daniela,Brooklyn,Crown Heights,40.66609,-73.93976,Entire home/apt,99,2,0,,,1,20
19714903,Charming One Bedroom Apt in West Chelsea,8706651,Theresa,Manhattan,Chelsea,40.74862,-74.00237,Entire home/apt,150,2,1,4/27/2019,0.41,1,0
19715121,Brooklyn Spacious Studio,34899836,Frances,Brooklyn,East Flatbush,40.65777,-73.91671,Entire home/apt,100,2,36,6/16/2019,1.57,1,56
19716375,Rockaway Hideaway,137305439,Harry,Queens,Rockaway Beach,40.58891,-73.81578,Private room,110,1,34,7/1/2019,1.4,2,358
19716501,Peaceful Private Studio Floor in Williamsburg Apt,3889739,Tutti,Brooklyn,Williamsburg,40.71322,-73.94022,Private room,60,2,6,10/29/2017,0.25,1,0
19717109,Great 2BD in TriBeCa,8586684,Julian,Manhattan,SoHo,40.72569,-74.00849,Entire home/apt,700,2,1,7/8/2017,0.04,1,0
19717572,Large NYC Apartment!,45726938,Daulton,Manhattan,East Harlem,40.79368,-73.94132,Private room,100,3,0,,,1,0
19717632,East Village Charming & Cozy Apt!,6965700,Alina,Manhattan,East Village,40.72435,-73.98394,Private room,73,3,6,7/8/2018,0.3,1,0
19717723,Tiny STUDIO in EastVillage,49656804,Marija,Manhattan,East Village,40.72716,-73.98524,Entire home/apt,100,3,75,7/1/2019,3.12,1,60
19718634,Enormous apartment with everything you need,3495471,Russell,Bronx,Claremont Village,40.83561,-73.91108,Entire home/apt,58,3,59,6/3/2019,2.89,1,42
19718993,Cozy Crown Heights w/ Botanical Garden Membership,26017313,Jamie,Brooklyn,Crown Heights,40.67293,-73.96128,Entire home/apt,200,1,2,9/26/2017,0.09,1,0
19719080,"Kosher, furnished room in Crown Heights!!!",58753715,Avremi And Shmuly,Brooklyn,Crown Heights,40.66739,-73.94708,Private room,70,2,5,10/23/2017,0.21,1,0
19719874,Studio - West Village - Unit 1,4422523,Marie,Manhattan,West Village,40.73598,-74.00505,Entire home/apt,140,30,1,8/6/2018,0.09,6,267
19720055,Big Private Room in quite place with green view.,138983570,Ali,Queens,Sunnyside,40.74777,-73.91546,Private room,45,6,1,5/10/2019,0.5,1,14
19720126,Spacious West Harlem Studio!,96742320,Anne,Manhattan,Harlem,40.82411,-73.9509,Entire home/apt,98,2,2,8/22/2017,0.09,1,0
19720270,Bright corner Studio in the heart of Harlem,12293403,Joffrey,Manhattan,Harlem,40.81113,-73.94113,Entire home/apt,150,2,21,2/24/2019,0.89,2,157
19720565,2 bedroom luxury building 10 day stay,138996674,Suhail,Manhattan,Murray Hill,40.74466,-73.9748,Entire home/apt,80,10,0,,,1,0
19720877,"Bright 2BR, terrace, best Bklyn Heights location!",7627586,Sarah,Brooklyn,Brooklyn Heights,40.69387,-73.99412,Entire home/apt,299,4,6,12/31/2018,0.27,1,27
19720907,"Cozy bedroom in Harlem, NY",54283436,Maurice,Manhattan,East Harlem,40.7993,-73.94164,Private room,60,3,6,7/26/2018,0.25,1,0
19721338,2 Bedrooms Available in Upper West Manhattan,133274871,Deborah,Manhattan,Harlem,40.81513,-73.95685,Private room,51,5,0,,,1,0
19721535,Rockaway Beach Oasis,12162815,Annelise,Queens,Rockaway Beach,40.59093,-73.81238,Entire home/apt,140,2,9,6/14/2019,0.38,1,36
19721906,"1 month min, Cozy Midtown East/UES studio!",10440694,Gia,Manhattan,Upper East Side,40.76212,-73.96358,Entire home/apt,150,30,88,6/22/2019,3.67,1,3
19728214,Large beautiful room in luxury building with view,139076348,Candelyn,Queens,Long Island City,40.74515,-73.95583,Private room,150,3,0,,,1,0
19729892,One room in a beautiful two bedroom appartment,4452444,Jūrate,Brooklyn,Williamsburg,40.71916,-73.94215,Private room,70,1,14,6/30/2019,0.6,1,0
19730080,Private bedroom in Sunny Bushwick Apartment,139093829,Valentina,Brooklyn,Bushwick,40.6874,-73.91455,Private room,40,3,17,8/27/2018,0.71,1,0
19730428,Comfortable Room in Bushwick,139096564,Jessica,Brooklyn,Bushwick,40.69273,-73.9055,Private room,45,1,1,7/17/2017,0.04,1,0
19730968,Furnished private large room at a great location,138717905,Luca,Manhattan,East Harlem,40.79626,-73.94429,Private room,67,2,28,7/3/2019,1.22,1,179
19731225,Entire 2 bedroom floor in owner occup Brownstone,71097702,Paula,Brooklyn,Park Slope,40.6815,-73.98028,Entire home/apt,290,30,48,4/9/2019,2.07,2,299
