9471893,Newly Renovated Soho Apt: 2 bedroom/2 bathroom,49090209,Jack,Manhattan,Greenwich Village,40.72772,-74.0013,Entire home/apt,225,1,1,1/2/2016,0.02,1,0
9471997,Lovely 1-bedroom apartment in SoHo!,10208450,Olai,Manhattan,SoHo,40.72615,-74.00225,Entire home/apt,100,4,1,3/8/2016,0.02,1,0
9473492,1 Bedroom in 2 bdr Bushwick apt,49099055,Charles,Brooklyn,Bushwick,40.68983,-73.90512,Private room,55,1,1,12/27/2015,0.02,1,0
9473646,Cozy Private Room in Cobble Hill,6240859,Sarah,Brooklyn,Carroll Gardens,40.68535,-73.99192,Private room,80,2,11,11/3/2016,0.27,1,0
9473837,Cozy Room in Artistic Apartment,13713658,Isabelle,Brooklyn,Williamsburg,40.7161,-73.94264,Private room,80,1,1,1/2/2016,0.02,1,0
9473889,"CHARMING, QUIET ONE BEDROOM APT W/ BACK YARD",49101398,Nicholas,Brooklyn,Gravesend,40.59592,-73.97523,Entire home/apt,85,30,9,6/2/2019,0.21,3,216
9474607,Brand new apt in heart of Midtown!,43951918,Mian,Manhattan,Hell's Kitchen,40.75553,-73.9923,Entire home/apt,280,4,0,,,1,0
9475052,"Super Cool Brooklyn, Near Manhattan",49108001,Manne,Brooklyn,Bedford-Stuyvesant,40.68735,-73.94541,Entire home/apt,125,2,180,6/18/2019,4.09,1,116
9475136,Williamsburg Room & Private Bath,13034246,Clinton,Brooklyn,Williamsburg,40.71642,-73.95298,Private room,90,1,0,,,1,0
9475494,Upper East Side - amazing location!,3394386,Kevin,Manhattan,Upper East Side,40.78113,-73.95452,Entire home/apt,175,1,1,12/27/2015,0.02,1,0
9475907,Spacious alcove studio in Tribeca,1991700,Rajat,Manhattan,Financial District,40.71124,-74.00834,Entire home/apt,150,3,0,,,1,0
9476198,Amazing 1BR Apt in the heart of East Village,49115124,Kin,Manhattan,East Village,40.72636,-73.98454,Entire home/apt,180,2,51,7/7/2019,4.77,1,6
9476212,Awesome Green Vill. Penthouse Apt.,9721574,Gregory,Manhattan,West Village,40.73338,-74.00752,Entire home/apt,250,1,0,,,1,0
9476397,Spacious room in the heart of Astoria!,40503875,Hebert,Queens,Astoria,40.75823,-73.90881,Private room,60,1,49,2/4/2019,1.13,2,0
9476449,Spacious Park Slope 3 Bb APT,13859188,Julien,Brooklyn,Park Slope,40.66737,-73.97822,Entire home/apt,200,2,2,8/28/2016,0.05,1,0
9476774,2 BR/2BA UWS Luxury Apartment w Private Backyard,15145088,Izi,Manhattan,Upper West Side,40.78613,-73.9732,Entire home/apt,295,30,2,3/8/2017,0.06,8,332
9476831,Private room in Wash Heights NYC,49118721,Raphael,Manhattan,Washington Heights,40.85068,-73.93046,Private room,40,4,1,1/2/2016,0.02,1,0
9476850,Cozy UWS Studio by Central Park,40947332,Michelle,Manhattan,Upper West Side,40.77877,-73.97872,Entire home/apt,150,3,39,4/16/2019,0.89,1,0
9477096,Holiday Rental in NYC!,49120717,Sarah,Manhattan,Harlem,40.82516,-73.95288,Private room,40,1,1,12/21/2015,0.02,1,0
9477359,"Bright, airy East Village apartment",22063782,Jennifer,Manhattan,East Village,40.72311,-73.98389,Entire home/apt,180,7,1,1/3/2016,0.02,1,0
9477489,1 bedroom clean & simple in manhattan.,49123284,Kyriaki,Manhattan,Two Bridges,40.71255,-73.99673,Entire home/apt,145,6,106,6/24/2019,2.48,2,249
9477988,Sunny and Close to Everything!,7530710,Lili And Antoine,Brooklyn,Prospect Heights,40.67768,-73.97114,Entire home/apt,175,10,11,10/10/2016,0.25,1,0
9478196,"Spacious W.Village Triplex, terrace",26748898,Abby,Manhattan,West Village,40.73431,-74.00635,Entire home/apt,275,3,4,7/20/2016,0.11,1,0
9478370,Spacious and comfortable 1Br apt close to NYC.,8200337,María Cristina,Queens,Sunnyside,40.74538,-73.92139,Entire home/apt,115,2,6,7/2/2018,0.18,1,0
9479084,Cosy studio / newly renovated,1177400,Bella,Manhattan,Two Bridges,40.71183,-73.99685,Entire home/apt,175,4,3,1/2/2017,0.08,1,0
9479324,Subletting my room (Jan-May),49133999,Eli,Brooklyn,Clinton Hill,40.69585,-73.96344,Private room,65,60,0,,,1,0
9479348,Penthouse Duplex & Roof Top Terrace,369154,Michael,Manhattan,Harlem,40.81319,-73.94423,Entire home/apt,345,4,16,4/30/2019,0.37,1,206
